"continent","country","GADM_level_1","GADM_level_2","region_custom","region_detail","ISO_2","kingdom","phylum","class","order","group","language","source_link","source_name","year","file_hash"
"Europe","Norway",NA,NA,NA,NA,"NO","Plantae",NA,NA,NA,"Flora","Norwegian","https://artsdatabanken.no/Files/41901/Norsk_r_dliste_for_arter_2021","Norsk rødliste for arter 2021","2021","050bf674930b6fd4a77213cd60c7fbae6a38c1aa552f7056b3e6c782aa33fc20"
"Europe","Norway",NA,NA,NA,NA,"NO","Animalia",NA,NA,NA,"Fauna","Norwegian","https://artsdatabanken.no/Files/41901/Norsk_r_dliste_for_arter_2021","Norsk rødliste for arter 2021","2021","050bf674930b6fd4a77213cd60c7fbae6a38c1aa552f7056b3e6c782aa33fc20"
"Europe","Norway",NA,NA,NA,NA,"NO","Plantae",NA,NA,NA,"Flora","Norwegian","https://archive.nationalredlist.org/files/2012/08/2006-Norwegian-Red-List.pdf","Norsk Rødliste 2006","2006","82e3d982b01cda98586c845984ac4ea0a0b4ed9a2ca7008bb86ff7f2bde6fd28"
"Europe","Norway",NA,NA,NA,NA,"NO","Animalia",NA,NA,NA,"Fauna","Norwegian","https://archive.nationalredlist.org/files/2012/08/2006-Norwegian-Red-List.pdf","Norsk Rødliste 2006","2006","82e3d982b01cda98586c845984ac4ea0a0b4ed9a2ca7008bb86ff7f2bde6fd28"
"Europe","Norway",NA,NA,NA,NA,"NO","Plantae",NA,NA,NA,"Flora","Norwegian","https://artsdatabanken.no/Files/13972/Norsk_r_dliste_for_arter_2010_(PDF)","Norsk rødliste for arter 2010","2010","059663f22c12d08c2e0b6ecc9369f2fd006f176b819d7876dcc9d60453c62e8f"
"Europe","Norway",NA,NA,NA,NA,"NO","Animalia",NA,NA,NA,"Fauna","Norwegian","https://artsdatabanken.no/Files/13972/Norsk_r_dliste_for_arter_2010_(PDF)","Norsk rødliste for arter 2010","2010","059663f22c12d08c2e0b6ecc9369f2fd006f176b819d7876dcc9d60453c62e8f"
"Europe","Andorra",NA,NA,NA,NA,"AD","Plantae","Tracheophyta",NA,NA,"Flora","Catalan","http://atzavara.bio.ub.edu/geoveg/docs/check_list_carrillo_et_al.pdf","Check-list i Llista vermella de la flora d’Andorra","2008","2dc9585919dc8a3c6d3047e2ce9c3a18c37f2d394bd3294cf5f5e4602c427a52"
"Europe","Andorra",NA,NA,NA,NA,"AD","Fungi",NA,NA,NA,"Fungi","Catalan","http://www.micocat.org/UNCINULA09/rcmPdf/RCM39_2018/RCM_39_2018_039_full.pdf","PRIMERA APROXIMACIÓ A UNA LLISTA VERMELLA DELS FONGS D’ANDORRA.","2018","bb5522acb68f4fd216281dab36d90f16fb189a3f32a95136118bee0b81751787"
"Europe","Andorra",NA,NA,NA,NA,"AD","Animalia","Chordata","Aves",NA,"Birds","English/Catalan","http://www.adn-andorra.org/websadn/atlesocells/Atles2de8.pdf","Atles dels ocells nidificats d'Andorra","2004","1ff0868f5044035664658e28fac8c31ea8eec08a035f3b6905cd81ecb5348b4f"
"Europe","Andorra",NA,NA,NA,NA,"AD","Animalia","Chordata",NA,NA,"Fauna","Catalan","Nicolau, J. i Dalmau, J., 2008. Llista Vermella
dels Vertebrats d’Andorra. BIOCOM (Biologia i
Comunicació) SL i Departament de Patrimoni
Natural del Govern d’Andorra. Informe inèdit","Llista Vermella dels Vertebrats d’Andorra","2008","new_1fed4d48359e1350611388ec6789e9b5"
