id,continent,gadm_level_0,gadm_level_1,gadm_level_2,region_custom,region_detail,iso_2,iso_3,taxa,kingdom,phylum,class,order,family,source_name,source_link,language,year
1,Europe,Norway,,,,,NO,NOR,Flora,Plantae,,,,,Norsk rødliste for arter 2021,https://artsdatabanken.no/Files/41901/Norsk_r_dliste_for_arter_2021,Norwegian,2021
2,Europe,Norway,,,,,NO,NOR,Fauna,Animalia,,,,,Norsk rødliste for arter 2021,https://artsdatabanken.no/Files/41901/Norsk_r_dliste_for_arter_2021,Norwegian,2021
3,Europe,Norway,,,,,NO,NOR,Flora,Plantae,,,,,Norsk Rødliste 2006,https://archive.nationalredlist.org/files/2012/08/2006-Norwegian-Red-List.pdf,Norwegian,2006
4,Europe,Norway,,,,,NO,NOR,Fauna,Animalia,,,,,Norsk Rødliste 2006,https://archive.nationalredlist.org/files/2012/08/2006-Norwegian-Red-List.pdf,Norwegian,2006
5,Europe,Norway,,,,,NO,NOR,Flora,Plantae,,,,,Norsk rødliste for arter 2010,https://artsdatabanken.no/Files/13972/Norsk_r_dliste_for_arter_2010_(PDF),Norwegian,2010
6,Europe,Norway,,,,,NO,NOR,Fauna,Animalia,,,,,Norsk rødliste for arter 2010,https://artsdatabanken.no/Files/13972/Norsk_r_dliste_for_arter_2010_(PDF),Norwegian,2010
7,Europe,Andorra,,,,,AD,AND,Flora,Plantae,,,,,Check-list i Llista vermella de la flora d’Andorra,http://atzavara.bio.ub.edu/geoveg/docs/check_list_carrillo_et_al.pdf,Catalan,2008
8,Europe,Andorra,,,,,AD,AND,Fungi,Fungi,,,,,PRIMERA APROXIMACIÓ A UNA LLISTA VERMELLA DELS FONGS D’ANDORRA.,http://www.micocat.org/UNCINULA09/rcmPdf/RCM39_2018/RCM_39_2018_039_full.pdf,Catalan,2018
9,Europe,Andorra,,,,,AD,AND,Birds,Animalia,Chordata,Aves,,,Atles dels ocells nidificats d'Andorra,http://www.adn-andorra.org/websadn/atlesocells/Atles2de8.pdf,English | Catalan,2004
10,Europe,Andorra,,,,,AD,AND,Fauna,Animalia,,,,,Llista Vermella dels Vertebrats d’Andorra,,Catalan,2008
11,Europe,Andorra,,,,,AD,AND,Bryophytes,Plantae,,,,,"The 2006 Red List and an Updated Checklist of Bryophytes of the Iberian Peninsula (Portugal, Spain and Andorra)",https://www.researchgate.net/profile/Cecilia-Sergio-2/publication/259799050_The_2006_Red_List_and_an_Updated_Checklist_of_Bryophytes_of_the_Iberian_Peninsula_Portugal_Spain_and_Andorra/links/53f27b040cf2bc0c40ead6bc/The-2006-Red-List-and-an-Updated-Checklist-of-Bryophytes-of-the-Iberian-Peninsula-Portugal-Spain-and-Andorra.pdf,English,2006
12,Europe,Portugal,,,,,PT,PRT,Bryophytes,Plantae,,,,,"The 2006 Red List and an Updated Checklist of Bryophytes of the Iberian Peninsula (Portugal, Spain and Andorra)",https://www.researchgate.net/profile/Cecilia-Sergio-2/publication/259799050_The_2006_Red_List_and_an_Updated_Checklist_of_Bryophytes_of_the_Iberian_Peninsula_Portugal_Spain_and_Andorra/links/53f27b040cf2bc0c40ead6bc/The-2006-Red-List-and-an-Updated-Checklist-of-Bryophytes-of-the-Iberian-Peninsula-Portugal-Spain-and-Andorra.pdf,English,2006
13,Europe,Spain,,,,,ES,ESP,Bryophytes,Plantae,,,,,"The 2006 Red List and an Updated Checklist of Bryophytes of the Iberian Peninsula (Portugal, Spain and Andorra)",https://www.researchgate.net/profile/Cecilia-Sergio-2/publication/259799050_The_2006_Red_List_and_an_Updated_Checklist_of_Bryophytes_of_the_Iberian_Peninsula_Portugal_Spain_and_Andorra/links/53f27b040cf2bc0c40ead6bc/The-2006-Red-List-and-an-Updated-Checklist-of-Bryophytes-of-the-Iberian-Peninsula-Portugal-Spain-and-Andorra.pdf,English,2006
14,Europe,Spain,Cataluña,,,,ES,ESP,Birds,Animalia,Chordata,Aves,,,The Red List of Catalan breeding birds (NE Iberian Peninsula) 2012,https://ornitologia.org/mm/file/queoferim/divulgacio/publicacions/rco/29_1_19.pdf,English,2013
15,Europe,Spain,Islas Baleares,,,,ES,ESP,Fishes,Animalia,Chordata,,,,Llista vermella dels peixos de Balears,https://www.caib.es/sites/proteccioespecies/ca/n/llista_vermella_dels_peixos_de_balears-21469/,Catalan,2000
16,Europe,Spain,Islas Baleares,,,,ES,ESP,Cave Fauna,Animalia,,,,,Llista vermella de la fauna cavernícola de les Balears,https://www.caib.es/sites/proteccioespecies/f/206033;jsessionid=51CF2FFA24AC8591E91274CCABB11E13,Catalan,1991
17,Europe,Albania,,,,,AL,ALB,Fauna,Animalia,,,,,"RED LIST OF WILD FLORA AND FAUNA, ALBANIA 2013",https://archive.nationalredlist.org/files/2015/06/Red-list-of-Albanian-flora-and-fauna-2013-MO-1280-20-11-2013.pdf,English,2013
18,Europe,Albania,,,,,AL,ALB,Flora,Plantae,,,,,"RED LIST OF WILD FLORA AND FAUNA, ALBANIA 2013",https://archive.nationalredlist.org/files/2015/06/Red-list-of-Albanian-flora-and-fauna-2013-MO-1280-20-11-2013.pdf,English,2013
19,Europe,Albania,,,,,AL,ALB,Lepidoptera,Animalia,Arthropoda,Insecta,Lepidoptera,,Red List & the status of the Albanian butterflies in a broader European perspective,https://biodiversity.unitir.edu.al/Albania_Red_List.htm,English,2023
20,Europe,Austria,,,,,AT,AUT,Ants,Animalia,Arthropoda,Insecta,Hymenoptera,,Rote Liste der Ameisen (Hymenoptera: Formicidae) Österreichs,https://www.umweltbundesamt.at/fileadmin/site/publikationen/rep0895.pdf,Deutsch,2024
21,Europe,Austria,,,,,AT,AUT,Reptiles,Animalia,Chordata,Reptilia,,,Rote Liste gefährdeter Tiere Österreichs,https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rote_liste_amphibien_reptilien_2007.xlsx,Deutsch,2007
22,Europe,Austria,,,,,AT,AUT,Amphibians,Animalia,Chordata,Amphibia,,,Rote Liste gefährdeter Tiere Österreichs,https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rote_liste_amphibien_reptilien_2007.xlsx,Deutsch,2007
23,Europe,Austria,,,,,AT,AUT,Orthoptera,Animalia,Arthropoda,Insecta,Orthoptera,,Rote Liste der Heuschrecken (Orthoptera) Österreichs,https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rote_liste_orthoptera_2005.xlsx,Deutsch,2005
24,Europe,Austria,,,,,AT,AUT,Malacostraca,Animalia,Arthropoda,Malacostraca,,,Rote Liste der Flusskrebse (Decapoda) Österreichs,https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rote_liste_flusskrebse_2009.xlsx,Deutsch,2009
25,Europe,Austria,,,,,AT,AUT,Bombus Spp.,Animalia,Arthropoda,Insecta,Hymenoptera,,Rote Liste der Hummeln (Bombus spp.) Österreichs,https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rl_hummeln_2024.xlsx,Deutsch,2024
26,Europe,Austria,,,,,AT,AUT,Trichoptera,Animalia,Arthropoda,Insecta,Trichoptera,,"Rote Liste der Köcherfliegen Österreichs (Insecta, Trichoptera)",https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rote_liste_koecherfliegen_2009.xlsx,Deutsch,2009
27,Europe,Austria,,,,,AT,AUT,Odonata,Animalia,Arthropoda,Insecta,Odonata,,Libellen Österreichs,https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rote_liste_libellen_2006.xlsx,Deutsch,2006
28,Europe,Austria,,,,,AT,AUT,Moths,Animalia,Arthropoda,Insecta,Lepidoptera,,Rote Liste ausgewählter Nachtfalter Österreichs (Lepidoptera: Hepialoidea. Cossoidea. Zygaenoidea. Thyridoidea. Lasiocampoidea. Bombycoidea. Drepanoidea. Noctuoidea),https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rote_liste_nachtfalter_2007.xlsx,Deutsch,2007
29,Europe,Austria,,,,,AT,AUT,Neuroptera,Animalia,Arthropoda,Insecta,Neuroptera,,Rote Liste der Neuropterida (Netzflügler) Österreichs,https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rote_liste_neuropteren_2005.xlsx,Deutsch,2005
30,Europe,Austria,,,,,AT,AUT,Mammals,Animalia,Chordata,Mammalia,,,Rote Liste der Säugetiere Österreichs (Mammalia),https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rote_liste_saeugetiere_2005.xlsx,Deutsch,2005
31,Europe,Austria,,,,,AT,AUT,Mecoptera,Animalia,Arthropoda,Insecta,Mecoptera,,Rote Liste der Mecopteren (Schnabelfliegen) Österreichs,https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rote_liste_schnabelfliegen_2005.xlsx,Deutsch,2005
32,Europe,Austria,,,,,AT,AUT,Scorpions,Animalia,Arthropoda,Arachnida,Scorpionida,,Rote Liste der Skorpione (Scorpiones) Österreichs,https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rote_liste_skorpione_2009.xlsx,Deutsch,2009
33,Europe,Austria,,,,,AT,AUT,Butterflies,Animalia,Arthropoda,Insecta,Lepidoptera,,Rote Liste der Tagschmetterlinge Österreichs (Lepidoptera: Papilionoidea & Hesperioidea),https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rote_liste_tagfalter_2005.xlsx,Deutsch,2005
34,Europe,Austria,,,,,AT,AUT,Branchiopoda,Animalia,Arthropoda,Branchiopoda,,,"Large freshwater branchiopods in Austria: diversity, threats and conservational status",https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rote_liste_urzeitkrebse_2002.xlsx,Deutsch,2002
35,Europe,Austria,,,,,AT,AUT,Birds,Animalia,Chordata,Aves,,,Liste für den Vogelschutz prioritärer Brutvögel (1. Fassung),https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rl_voegel_2017.xlsx,Deutsch,2017
36,Europe,Austria,,,,,AT,AUT,Birds,Animalia,Chordata,Aves,,,"Rote Listen gefährdeter Tiere Österreichs. Teil 1: Säugetiere, Vögel",https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rote_liste_voegel_2005.xlsx,Deutsch,2005
