term,definition
id,Unique identifier for each record.
continent,The name of the continent in which the record occurs.
country,The name of the country according to GADM in which the record occurs.
stateProvince,"The name of the first smaller administrative region than country (e.g., states, provinces) according to GADM in which the record occurs."
county,"The name of the second smaller administrative region than country (e.g., districts, counties) according to GADM in which the record occurs."
customRegion,"The name of the non-standard geographic areas not fitting into GADM levels (e.g., Carpathians, Indochina, Dutch Caribbean) in which the record occurs."
countryCode,"The two-letter country code according to ISO standards. For non-standard geographic areas (i.e., custom regions) this is a list of the two-letter country codes it overlaps."
taxa,"The verbatim taxonomic classification of the record. The value of taxa is not always a scientific name; it may include ecological groups (e.g., ""cave animals""), functional groups, or broader categories (e.g., ""animals"")."
kingdom,The full scientific name of the kingdom in which the taxa is classified.
phylum,The full scientific name of the phylum in which the taxa is classified.
class,The full scientific name of the class in which the taxa is classified.
order,The full scientific name of the order in which the taxa is classified.
family,The full scientific name of the family in which the taxa is classified.
sourceTitle,The original name of the source.
sourceIdentifier,The URL to access the source.
sourceLanguage,The language in which the source is written.
sourceDate,The year of publication of the source.
